waiting_time,battery_capacity_kWh,initial_soc,charging_power_kW,queue_length,electricity_price,renewable_energy_ratio,charging_demand,month,day,hour,minute,is_weekend,waiting_per_queue,load_per_queue,price_per_kWh,charging_efficiency,station_id_ST002,station_id_ST003,station_id_ST004,station_id_ST005,station_id_ST006,station_id_ST007,station_id_ST008,station_id_ST009,station_id_ST010,station_id_ST011,station_id_ST012,station_id_ST013,station_id_ST014,station_id_ST015,station_id_ST016,station_id_ST017,station_id_ST018,station_id_ST019,station_id_ST020,location_type_Urban,vehicle_type_Car,vehicle_type_Two-Wheeler,traffic_density_Low,traffic_density_Medium,weather_condition_Cloudy,weather_condition_Rainy,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,time_slot_Peak,charging_priority_Low,charging_priority_Medium,power_to_wait_ratio
12,60,48.98455001363846,7,4,13.66,0.2803345035229627,17.242398021324444,1,1,0,0,0,2.4,3.032334448672798,0.44744904525874307,0.11666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0.5384615384615384
8,100,58.49549260809972,50,3,5.47,0.3921266556524377,18.324932838608152,1,1,0,15,0,2.0,5.249304858576277,0.1317929146429885,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,5.555555555555555
11,75,35.71172192068058,50,8,9.5,0.1039794883479599,36.028168328604124,1,1,0,30,0,1.2222222222222223,3.5117945301950666,0.21103463934208885,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4.166666666666667
9,40,29.27082512699581,11,3,6.22,0.2485530730333811,17.14693508594421,1,1,0,45,0,2.25,5.450762468698007,0.21985269908662683,0.275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.1
8,75,25.58555380447055,11,5,13.42,0.2349262400109297,14.577768209129315,1,1,1,0,0,1.3333333333333333,2.6043776415185285,0.24045510311690393,0.14666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1.2222222222222223
3,75,39.89499894055426,50,0,14.61,0.3533601546034455,22.88988630189029,1,1,1,15,0,3.0,20.41668520051648,0.32409948684192963,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,12.5
21,30,24.04672548436904,50,2,5.16,0.2270204442119109,14.254153963015746,1,1,1,30,0,7.0,5.10177959375335,0.22645501605675067,1.6666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2.272727272727273
4,60,19.942120204440258,50,7,8.58,0.1347607178575389,22.11192729343774,1,1,1,45,0,0.5,2.310111629335226,0.1786207683305788,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,10.0
2,100,46.480308916903205,50,6,14.72,0.3546741472798251,25.87583270672453,1,1,2,0,0,0.2857142857142857,3.3797910707251146,0.27503895672987244,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,16.666666666666668
1,60,36.1366414690997,22,2,13.96,0.2426110669546335,16.66713976647176,1,1,2,15,0,0.3333333333333333,5.344794682235975,0.3669624796407429,0.36666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,11.0
